Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur
107,19696.663582754583,382.9020524364078,26998.79937097227,37430.83690526526,948.3848522898224,115410.8134616675,11949.549057827495,266.3088321541149,23569.512904692474
108,19369.088904366505,381.3758835617394,27380.95174001024,36588.43478231259,933.9514887058433,116351.9864808197,11705.653271375468,263.62888991131473,23834.488837525325
109,19043.118182349524,379.6850464359864,27761.496082754435,35760.45464520749,919.4496370708285,117278.69298535153,11464.470929655736,260.86347897508404,24096.742101704924
110,18719.02472919079,377.83500041110256,28140.2690576333,34947.164620535026,904.9012324120135,118190.87121514614,11226.12934388247,258.0183284017935,24356.189373439556
111,18396.908935327392,375.8295034847808,28517.113707436783,34148.49634605763,890.3214202234986,119088.48330264738,10990.683054495876,255.0981703511455,24612.75346964554
112,18076.88161949947,373.672678267017,28891.877415950563,33364.39265058628,875.7252182649007,119971.50791160672,10758.187511050895,252.1078230618795,24866.362207160262
113,17759.168386388796,371.3703761218764,29264.410793470684,32595.006242012034,861.1316613113262,120839.93533952584,10528.741077562843,249.05288490566042,25116.947703943377
114,17443.881793264452,368.9273061159435,29634.57088246011,31840.269767799757,846.5550152764739,121693.77582428236,10302.393646860268,245.9382420770201,25364.44789344203
115,17131.121085577193,366.3482135092602,30002.22001316877,31100.08521272442,832.0085184455829,122533.05520503993,10079.186761689638,242.7686798261893,25608.805848839158
116,16821.081417660807,363.63936917989355,30367.22445018171,30374.531633588787,817.5088268977306,123357.80965757063,9859.197591265907,239.54963661439373,25849.96896310397
117,16513.88284796842,360.80627345401655,30729.45697526288,29663.542816671474,803.0691958452339,124168.09190384671,9642.470403503674,236.28602589637,26087.890092845413
118,16209.580286894357,357.8536774204464,31088.79687347573,28966.926607782687,788.6997184886962,124963.97052829048,9429.020624359307,232.98225389269874,26322.52747344047
119,15908.342591888235,354.78812763090775,31445.12741919325,28284.704722717303,774.4147673352546,125745.5216153512,9218.906894643436,229.64350340034196,26553.843310552427
120,15610.325151022895,351.61620174015917,31798.337817554853,27616.87271207334,760.2278363987733,126512.83326442074,9012.180052750897,226.2748346960099,26781.804596126065
121,15315.563812786497,348.34284431618835,32148.324969014328,26963.200041012384,746.1469420918662,127266.00972524135,8808.840650070535,222.88035816707978,27006.383861332924
122,15024.124219846606,344.9735238560224,32494.99120188921,26323.51305592355,732.1808866006861,128005.1644790938,8608.899007900065,219.46431984871867,27227.55795940848
123,14736.189792817615,341.515675701989,32838.242874673604,25697.862403637348,718.3432354590027,128730.41534423549,8412.41072842389,216.03181037549845,27445.30719689367
124,14451.813646834247,337.97482524233635,33177.99436478665,25086.05446084243,704.6415527472508,129441.8948735009,8219.377193395761,212.5868420040173,27659.61717512799
125,14171.030043117127,334.3562352811495,33514.16630648136,24487.862560001115,691.0821458890956,130139.74501879748,8029.790412500746,209.13317528826153,27870.477827542334
