Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,willing_Norte,available_market_Norte,Pct_adoption_Norte,initial_adopters0_Norte,initial_W0_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,willing_Centro,available_market_Centro,Pct_adoption_Centro,initial_adopters0_Centro,initial_W0_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur,willing_Sur,available_market_Sur,Pct_adoption_Sur,initial_adopters0_Sur,initial_W0_Sur,National_Available_Market,National_Adopters,National_Percentage_of_Adoption
166,29742.46085055784,782.0649798181853,107844.32976208016,137745.07899376273,356762.8834043329,0.3022857331261562,1594.3939393939395,111726.38481686903,67674.24725860714,1968.1188347426685,442913.43110408704,510915.8829650152,1808340.5583242143,0.24492810774234586,12069.818181818182,446802.3288629471,27104.897995243187,732.9605716467667,112783.87670151668,139971.6652418735,923180.2428579103,0.12216885876193476,1751.3838383838383,125088.92140650666,3088283.6845864574,663541.6375676839,0.21485773501942285
167,29124.638217913813,770.4153376716206,108620.56638607629,137903.58341217606,357173.4134483719,0.3041115668083649,1594.3939393939395,111726.38481686903,66054.56976464287,1928.182647386641,444861.5243834747,511244.36834553874,1809503.2026189463,0.24584732634880876,12069.818181818182,446802.3288629471,26461.509787883995,719.7179744102147,113510.20922618212,140054.6281854462,923727.4232480506,0.12288279677467254,1751.3838383838383,125088.92140650666,3090404.039315369,666992.2999957331,0.2158268923773135
168,28518.4856038562,758.7905221693971,109385.1672533214,138062.23097006502,357584.3142269042,0.30590035105374147,1594.3939393939395,111726.38481686903,64474.45300856298,1888.8787334144909,446770.00321780134,511573.0386905959,1810666.501578916,0.2467433968807697,12069.818181818182,446802.3288629471,25831.31479195889,706.548274480516,114223.33608710697,140137.63883669363,924274.9182931797,0.12358155980045255,1751.3838383838383,125088.92140650666,3092525.7340989998,670378.5065582297,0.21677378434283034
169,27924.143668065662,747.2050815133315,110138.16134457508,138221.02179669353,357995.5860747261,0.307652288544098,1594.3939393939395,111726.38481686903,62933.63538187328,1850.2264393935766,448639.50118585257,511901.89410433685,1811830.455572754,0.24761671259357937,12069.818181818182,446802.3288629471,25214.32917904176,693.4644440692394,114923.33487149782,140220.69722305005,924822.7281742396,0.12426525794665147,1751.3838383838383,125088.92140650666,3094648.7698217193,673700.9974019255,0.21769869458909127
170,27341.528227605868,735.6686005203836,110879.59281757123,138379.95602144228,358407.2293269367,0.30936762359898606,1594.3939393939395,111726.38481686903,61431.37434670283,1812.2317030037393,450470.6728405991,512230.93469097064,1812995.064969298,0.24846767735036696,12069.818181818182,446802.3288629471,24610.440032778468,680.4762436346339,115610.29631970878,140303.80337196542,925370.853072276,0.1249340153041097,1751.3838383838383,125088.92140650666,3096773.1473685107,676960.5619778791,0.218601921988741
171,26770.50232971547,724.1891856832614,111609.51703803407,138539.0337738089,358819.24431893765,0.3110466308736484,1594.3939393939395,111726.38481686903,59966.825868863416,1774.8965748673306,452264.1830546598,512560.16055476526,1814160.3301375955,0.24929669971361224,12069.818181818182,446802.3288629471,24019.50084363406,667.5922671911095,116284.32178358673,140386.95731090553,925919.2931684388,0.1255879671603655,1751.3838383838383,125088.92140650666,3098898.867624972,680158.0218762807,0.21948377502153232
172,26211.10626650007,712.7784791540888,112327.99491098482,138698.25518340775,359231.63138643326,0.3126895994026516,1594.3939393939395,111726.38481686903,58539.55172959811,1738.2325179371078,454020.69186864974,512889.5718000469,1815326.2514468997,0.25010418458212347,12069.818181818182,446802.3288629471,23441.45924302028,654.822880646441,116945.5195445868,140470.1590673519,926468.0486439818,0.12622725599199375,1751.3838383838383,125088.92140650666,3101025.931477315,683294.2063242213,0.22034456383881415
173,25663.252912383585,701.4450764345867,113035.0990134532,138857.62037997044,359644.3908654313,0.31429684956701504,1594.3939393939395,111726.38481686903,57148.84816055669,1702.2430103712636,455740.8709549604,513219.1685312007,1816492.8292666723,0.2508905422648684,12069.818181818182,446802.3288629471,22876.188670166594,642.1763799130262,117594.00807466393,140553.40866880192,927017.1196802638,0.12685203496050118,1751.3838383838383,125088.92140650666,3103154.339812367,686369.9780430775,0.2211846085891361
174,25126.769732700053,690.1953283152721,113730.91242489559,139017.1294933456,360057.5230922426,0.31586872966339613,1594.3939393939395,111726.38481686903,55793.838436411424,1666.9258233441042,457425.40061591484,513548.95085267065,1817660.0639665832,0.2516561868106953,12069.818181818182,446802.3288629471,22323.511809138767,629.6594664351729,118229.9151812073,140636.70614276876,927566.506458747,0.12746246695839003,1751.3838383838383,125088.92140650666,3105284.0935175726,689386.2282220176,0.22200423776399203
175,24601.65516895678,679.03907661647,114415.52230944019,139176.78265349925,360471.02840348217,0.3174055979371876,1594.3939393939395,111726.38481686903,54474.038067502814,1632.2880635462122,459074.95295852976,513878.9188689596,1818827.9559165111,0.2524015267442934,12069.818181818182,446802.3288629471,21783.342914651465,617.2806065433323,118853.37390089862,140720.05151678142,928116.2091609983,0.12805872015567973,1751.3838383838383,125088.92140650666,3107415.1934809918,692343.8491688686,0.2228037793666351
