Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,willing_Norte,available_market_Norte,Pct_adoption_Norte,initial_adopters0_Norte,initial_W0_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,willing_Centro,available_market_Centro,Pct_adoption_Centro,initial_adopters0_Centro,initial_W0_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur,willing_Sur,available_market_Sur,Pct_adoption_Sur,initial_adopters0_Sur,initial_W0_Sur,National_Available_Market,National_Adopters,National_Percentage_of_Adoption
130,58965.085036073164,1097.2747654526777,73023.8155187794,132142.17128743266,342251.2251776954,0.21336319681796828,1594.3939393939395,111726.38481686903,156040.73400508458,3600.595944478821,342862.12181027874,499224.4990389026,1766959.9623367982,0.19404068519857395,12069.818181818182,446802.3288629471,58550.952639601375,1126.9846317515041,78387.4271092448,137019.57879084372,903709.8173107837,0.0867395989373075,1751.3838383838383,125088.92140650666,3012921.0048252773,494273.36443830293,0.16405121928079439
131,58022.527697321304,1094.5333870492177,74119.76097481235,132295.68523315334,342648.82978410437,0.21631406423163216,1594.3939393939395,111726.38481686903,152782.35783391402,3559.676373997632,346442.3373920589,499546.4918457211,1768099.6267541177,0.1959405070561882,12069.818181818182,446802.3288629471,57507.672138849215,1121.985270282388,79511.95662417386,137100.86751322547,904245.9554094505,0.08793178022916359,1751.3838383838383,125088.92140650666,3014994.4119476723,500074.0549910451,0.16586234886850076
132,57082.956801747205,1091.2915749239023,75212.71639209928,132449.3378742543,343046.79361469863,0.21924914557451386,1594.3939393939395,111726.38481686903,149565.24224024697,3517.8103920224976,349981.1618299855,499868.66601227067,1769239.9330778022,0.197814414702449,12069.818181818182,446802.3288629471,56469.62546664785,1116.4525944665586,80631.22044424199,137182.2029939673,904782.4019019206,0.08911669841803853,1751.3838383838383,125088.92140650666,3017069.128594422,505825.0986663268,0.16765446103715173
133,56147.18826238331,1087.5618325873845,76302.18354453509,132603.12933604277,343445.11699402676,0.2221670356310879,1594.3939393939395,111726.38481686903,146391.00184946862,3475.08021463144,353477.67713515036,500191.02164070064,1770380.8816694003,0.19966193760623685,12069.818181818182,446802.3288629471,55437.516615198656,1110.4013777614418,81744.69017132421,137263.58525996524,905319.1569655864,0.09029378152707261,1751.3838383838383,125088.92140650666,3019145.155629013,511524.55085100967,0.1694269485179615
134,55215.64309960756,1083.3535225837293,77387.67838305638,132757.05974393917,343843.80024693056,0.22506637702201002,1594.3939393939395,111726.38481686903,143260.3313384628,3431.5541193970903,356931.0502119491,500513.5588332181,1771522.4728906646,0.20148265442522462,12069.818181818182,446802.3288629471,54411.823013673784,1103.8449302094589,82851.85348782477,137345.01433813083,905856.2207779422,0.09146247670151479,1751.3838383838383,125088.92140650666,3021222.4939155374,517170.58208283025,0.1711792438737511
135,54288.42611879096,1078.67319265668,78468.73066597378,132911.1292234773,344242.8436985454,0.2279458588678436,1594.3939393939395,111726.38481686903,140173.1799795397,3387.287968478048,360340.530073515,500836.2776920874,1772664.7071035504,0.20327619127832372,12069.818181818182,446802.3288629471,53392.838871762455,1096.7952622762211,83952.21410648472,137426.49025539102,906393.5935165845,0.09262225009862521,1751.3838383838383,125088.92140650666,3023301.1443186803,522761.47484597354,0.17291081830479746
136,53366.29439691365,1073.5357486636879,79544.87348739765,133065.33790030432,344642.2476743003,0.23080418615006976,1594.3939393939395,111726.38481686903,137130.89111695095,3342.3618602166302,363705.4096587429,501159.17831963033,1773807.5846702168,0.2050422000683701,12069.818181818182,446802.3288629471,52381.21058258234,1089.26966031139,85045.28601571433,137508.01303868834,906931.2753592117,0.09377258048800899,1751.3838383838383,125088.92140650666,3025381.1077037286,528295.5691618548,0.17462116353428028
137,52449.82155700923,1067.9550836553285,80615.65394352407,133219.68590018095,345042.0124999183,0.2336401105460836,1594.3939393939395,111726.38481686903,134134.36145886855,3296.8490210880113,367025.05686964974,501482.26081822696,1774951.1059530284,0.20678037588679501,12069.818181818182,446802.3288629471,51377.473911172056,1081.285105870259,86130.60014879124,137589.58271498067,907469.2664836245,0.09491296656529304,1751.3838383838383,125088.92140650666,3027462.384936571,533771.310961965,0.17630980771810584
138,51539.14201766366,1061.9405522631337,81680.63722581575,133374.1733489815,345442.1385014168,0.23645244202157678,1594.3939393939395,111726.38481686903,131183.4789253205,3250.804757319346,370298.9247426495,501805.5252903143,1776095.271314552,0.20849046260259335,12069.818181818182,446802.3288629471,50381.9122191016,1072.8561577372516,87207.70702797241,137671.19931124154,908007.5670677259,0.09604292980684798,1751.3838383838383,125088.92140650666,3029544.976883695,539187.2689964377,0.17797632090316948
139,50634.82565078295,1055.5076006614847,82739.39615723441,133528.80037269404,345842.6260051076,0.23924001825041796,1594.3939393939395,111726.38481686903,128279.05462691092,3204.3008060957004,373526.51497792656,502128.97183838754,1777240.08111756,0.2101722321854493,12069.818181818182,446802.3288629471,49395.040199273346,1064.0012027938033,88276.17080802939,137752.86285445996,908546.1772895216,0.09716200784794991,1751.3838383838383,125088.92140650666,3031628.884412189,544542.0819431903,0.17962029743913496
